--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/CheckableLinearLayout;--->setChecked(Z)V
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getItemViewType(I)I
08-20 20:35:55.110 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.150 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:35:55.150 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.150 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:35:55.150 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.150 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getItemId(I)J
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteAdapter;--->myPosToSourcePos(I)I
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/DeleteView;--->getInnerView()Landroid/view/View;
08-20 20:35:55.160 D/M_InsDal( 2399): Lcom/notriddle/budget/EnvelopesAdapter;--->bindView(Landroid/view/View;Landroid/content/Context;Landroid/database/Cursor;)V
